record,employment-type,hbw1att,hbw2att,hbw3att,hbw4att,colatt,hspatt,schatt,hboatt,otoatt,wtoatt,cvhatt,mtkatt,dtkatt
1,retail,0.214,0.2982,0.446,0.502,0.0,3.64,0,3.762,3.55,1.649,0.05,0.02,0.0
2,food-services,0.214,0.298,0.446,0.502,0.0,3.64,0,3.762,3.55,1.649,0.05,0.02,0.0
3,government,0.19,0.177,0.245,0.306,0.0,0.0,0,0.0,0.0,0.282,0.1,0.02,0.0
4,office,0.187,0.243,0.346,0.486,0.0,0.0,0,0.032,0.0,0.793,0.16,0.04,0.0
5,services,0.187,0.243,0.346,0.486,0.0,0.0,0,0.032,0.0,0.793,0.16,0.04,0.0
6,industrial,0.058,0.117,0.228,0.306,0.0,0.0,0,0.0,0.0,0.0,0.15,0.15,0.0
7,education,0.194,0.265,0.448,0.601,0.0,0.0,2,0.0,0.0,0.0,0.1,0.02,0.0
8,medical,0.187,0.243,0.346,0.486,0.0,0.0,0,0.032,0.0,0.793,0.1,0.02,0.0
9,other,0.187,0.243,0.346,0.486,0.0,0.0,0,0.032,0.0,0.793,0.05,0.04,0.0
10,university,0.0,0.0,0.0,0.0,0.88,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,total-hh,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15,0.04,0.04
12,total-jobs,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,total-people,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
