,BKRCastTAZ,record,year,colpro,colatt,hbopro,hboatt,schpro,schatt,hsppro,hspatt,hbw1pro,hbw1att,hbw2pro,hbw2att,hbw3pro,hbw3att,hbw4pro,hbw4att,otopro,otoatt,wtopro,wtoatt
0,1511,1,2014,2865,2103,36385,25475,1550,1550,13253,9281,5090,2431,5702,3311,6589,5158,7584,7063,0,0,6535,6535
1,1512,2,2014,175,0,3530,1830,0,0,1283,663,2580,107,2891,145,3339,227,3738,302,0,0,1053,1053
2,1513,3,2014,0,35,529,645,53,53,193,235,163,16,183,22,212,35,254,50,0,0,109,109
3,1514,4,2014,0,0,216,108,0,0,79,40,352,5,395,7,456,11,524,13,0,0,46,46
4,1515,5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1516,6,2014,0,0,103,26,18,0,37,9,14,3,16,4,18,6,24,10,0,0,11,11
6,1517,7,2014,0,0,6696,6696,0,0,2438,2438,1135,580,1268,786,1466,1227,1786,1777,0,0,1746,1746
7,1518,8,2014,15,0,783,508,113,15,287,184,99,35,110,45,129,72,142,94,0,0,152,152
8,1519,9,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1520,10,2014,0,0,326,205,40,0,119,74,58,13,64,18,74,28,99,44,0,0,29,29
10,1521,11,2014,0,0,353,114,40,0,128,41,62,8,69,10,81,14,93,21,0,0,32,32
11,1522,12,2014,661,331,17159,13209,1659,1659,6266,4811,2122,872,2381,1186,2751,1852,3136,2515,0,0,5538,5538
12,1523,13,2014,103,52,2677,2059,259,259,975,750,331,136,371,185,428,288,498,399,0,0,879,879
13,1524,14,2014,0,0,8323,4163,404,0,3033,1518,1422,229,1593,310,1841,484,2046,640,0,0,405,405
14,1525,15,2014,108,0,1758,1439,0,0,640,523,429,45,481,61,555,95,610,125,0,0,220,220
15,1526,16,2014,0,219,8080,807,219,219,2942,293,770,253,863,346,997,537,1096,703,0,0,998,998
16,1527,17,2014,0,249,5879,4112,249,249,2141,1498,963,214,1078,290,1245,455,1362,591,0,0,1115,1115
17,1528,18,2014,29,29,1955,391,0,119,713,142,271,20,304,27,350,41,399,58,0,0,273,273
