record,employment-type,hbw1pro,hbw2pro,hbw3pro,hbw4pro,colpro,hsppro,schpro,hbopro,otopro,wtopro,cvhpro,mtkpro,dtkpro
1,retail,0,0,0,0,0,0,0,0,0,0,0.33,0.15,0.15
2,food-services,0,0,0,0,0,0,0,0,0,0,0.33,0.15,0.15
3,government,0,0,0,0,0,0,0,0,0,0,0.16,0.04,0.04
4,office,0,0,0,0,0,0,0,0,0,0,0.16,0.04,0.04
5,services,0,0,0,0,0,0,0,0,0,0,0.16,0.04,0.04
6,industrial,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25
7,education,0,0,0,0,0,0,0,0,0,0,0.16,0.04,0.04
8,medical,0,0,0,0,0,0,0,0,0,0,0.15,0.04,0.04
9,other,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0.04
10,university,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
11,total-hh,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0.04
12,total-jobs,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
13,total-people,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
