purpose,parameter,variable,value,description
hbo,vot,mvotda,0.0303,VOT for SOV
hbo,vot,mvots2,0.0246,VOT for HOV2
hbo,vot,mvots3,0.0223,VOT for HOV3+
hbo,modechoice,asccs3,-0.5327,
hbo,modechoice,asccs2,-0.3985,
hbo,modechoice,asccwk,1.896,
hbo,modechoice,trwovt,-0.03,
hbo,modechoice,trwcos,-0.0015,
hbo,modechoice,walktm,-0.0923,
hbo,modechoice,biketm,-0.0342,
hbo,modechoice,ascctw,-1.4,
hbo,modechoice,asccbk,-3.4304,
hbo,modechoice,autcos,-0.0015,
hbo,modechoice,trwivt,-0.005,
hbo,modechoice,autivt,-0.015,
hbo,global,autoop,16.75,auto operating costs
hbw3,vot,avot4v,0.0142,
hbw3,vot,avots2,0.0157,
hbw3,vot,avots3,0.0125,
hbw3,modechoice,asccs3,-4.7987,
hbw3,modechoice,asccs2,-3.0284,
hbw3,modechoice,asccwk,0.7207,
hbw3,modechoice,trwovt,-0.05,
hbw3,modechoice,trwcos,-0.0018,
hbw3,modechoice,walktm,-0.0885,
hbw3,modechoice,biketm,-0.048,
hbw3,modechoice,ascctw,-1.934,
hbw3,modechoice,asccbk,-2.7077,
hbw3,modechoice,autcos,-0.0018,
hbw3,modechoice,trwivt,-0.025,
hbw3,modechoice,autivt,-0.025,
hbw3,global,autoop,16.75,
hbw2,vot,avots3,0.0125,
hbw2,vot,avots2,0.0157,
hbw2,vot,avot3v,0.0184,
hbw2,modechoice,asccs3,-4.6849,
hbw2,modechoice,asccs2,-3.0411,
hbw2,modechoice,asccwk,0.9008,
hbw2,modechoice,trwovt,-0.05,
hbw2,modechoice,trwcos,-0.0023,
hbw2,modechoice,walktm,-0.1104,
hbw2,modechoice,biketm,-0.0521,
hbw2,modechoice,ascctw,-1.9304,
hbw2,modechoice,asccbk,-2.714,
hbw2,modechoice,autcos,-0.0023,
hbw2,modechoice,trwivt,-0.025,
hbw2,modechoice,autivt,-0.025,
hbw2,global,autoop,16.75,
hbw1,vot,avots3,0.0125,
hbw1,vot,avots2,0.0157,
hbw1,vot,avot1v,0.0496,
hbw1,modechoice,asccs3,-4.3741,
hbw1,modechoice,asccs2,-2.2303,
hbw1,modechoice,asccwk,-0.6436,
hbw1,modechoice,trwovt,-0.05,
hbw1,modechoice,trwcos,-0.004,
hbw1,modechoice,walktm,-0.0318,
hbw1,modechoice,biketm,-0.0258,
hbw1,modechoice,ascctw,-0.6911,
hbw1,modechoice,asccbk,-4.7651,
hbw1,modechoice,autcos,-0.004,
hbw1,modechoice,trwivt,-0.025,
hbw1,modechoice,autivt,-0.025,
hbw1,global,autoop,16.75,
nhb,vot,mvotda,0.0303,
nhb,vot,mvots3,0.0223,
nhb,vot,mvots2,0.0246,
nhb,modechoice,asccs3,-1.0424,
nhb,modechoice,asccs2,-0.7953,
nhb,modechoice,asccwk,2.2288,
nhb,modechoice,trwovt,-0.05,
nhb,modechoice,trwcos,-0.0025,
nhb,modechoice,walktm,-0.1333,
nhb,modechoice,biketm,-0.0273,
nhb,modechoice,ascctw,-2.268,
nhb,modechoice,asccbk,-4.357,
nhb,modechoice,autcos,-0.0025,
nhb,modechoice,trwivt,-0.025,
nhb,modechoice,autivt,-0.025,
nhb,global,autoop,16.75,
