record,trip-purpose,kitsap,regional
1,hbw1pro,0.0,1.0
2,hbw2pro,0.0,1.0
3,hbw3pro,0.0,1.0
4,hbw4pro,0.0,1.0
5,colpro,0.0,1.0
6,hsppro,0.0,1.0
7,schpro,0.0,1.0
8,hbopro,0.0,1.0
9,otopro,0.0,1.0
10,wtopro,0.0,1.0
11,cvhpro,0.0,1.0
12,mtkpro,0.0,0.75
13,htkpro,0.0,1.0
14,hbw1att,0.3,1.0
15,hbw2att,0.3,1.0
16,hbw3att,0.3,1.0
17,hbw4att,0.3,1.0
18,colatt,0.0,1.0
19,hspatt,0.3,1.0
20,schatt,0.0,1.0
21,hboatt,0.3,1.0
22,otoatt,0.3,1.0
23,wtoatt,0.3,1.0
24,cvhatt,0.0,1.0
25,mtkatt,0.0,0.75
26,htkatt,0.0,1.0
